SQUAD,ZONA,BASE_USUARIOS,TARGET_ACUM,ORDENES_TOTALES,ORDENES_INORGANICAS,PCT_CONVERSION,PCT_VS_TARGET,SPEND_LOCAL,CPO_INORGANICO,CPO_TOTAL
EARLY_REACTIVATION,ALVARADO_PULLAY,293,28,18,2,6.14,64.3,5,3,0
EARLY_REACTIVATION,Alta Cordoba,4550,1227,1010,46,22.20,82.3,115,3,0
EARLY_REACTIVATION,Avellaneda - Sarandi,6797,1625,1459,428,21.47,89.8,1045,2,1
EARLY_REACTIVATION,BAHIA_BLANCA_NORTE,3413,698,660,218,19.34,94.6,520,2,1
EARLY_REACTIVATION,BAHIA_BLANCA_SUR,3270,641,627,204,19.17,97.8,484,2,1
EARLY_REACTIVATION,BARILOCHE_CENTRO,985,147,148,4,15.03,100.7,10,3,0
EARLY_REACTIVATION,BERAZATEGUI,4313,706,626,219,14.51,88.7,523,2,1
EARLY_REACTIVATION,Belgrano,23933,9807,7958,2068,33.25,81.1,5623,3,1
EARLY_REACTIVATION,Bosque Peralta Ramos,433,45,48,10,11.09,106.7,23,2,0
EARLY_REACTIVATION,Boulogne,4266,1142,946,247,22.18,82.8,615,2,1
EARLY_REACTIVATION,Bs As Sur Adrogue,6062,1766,1489,445,24.56,84.3,1184,3,1
EARLY_REACTIVATION,Bs As Sur Barrio San Jose,1383,268,243,78,17.57,90.7,194,2,1
EARLY_REACTIVATION,CABALLITO,40858,15331,12630,3619,30.91,82.4,9848,3,1
EARLY_REACTIVATION,CORDOBA_CERRO_ROSAS,3995,1050,891,272,22.30,84.9,726,3,1
EARLY_REACTIVATION,Carlos Paz,767,81,72,6,9.39,88.9,14,2,0
EARLY_REACTIVATION,Caseros - Bonich,9034,2404,2136,625,23.64,88.9,1539,2,1
EARLY_REACTIVATION,Castelar - Ituzaingo,4724,1055,911,265,19.28,86.4,643,2,1
EARLY_REACTIVATION,Catamarca,331,36,19,3,5.74,52.8,8,3,0
EARLY_REACTIVATION,Chacabuco - La Boca,18647,5532,4806,1223,25.77,86.9,3034,2,1
EARLY_REACTIVATION,City Bell,537,108,77,10,14.34,71.3,26,3,0
EARLY_REACTIVATION,Claypole,1365,326,312,74,22.86,95.7,180,2,1
EARLY_REACTIVATION,Cordoba Alberdi,4484,1191,982,41,21.90,82.5,105,3,0
EARLY_REACTIVATION,Cordoba Barrio Jardin,3472,821,708,33,20.39,86.2,78,2,0
EARLY_REACTIVATION,Cordoba Centro,18289,5772,5188,1427,28.37,89.9,3422,2,1
EARLY_REACTIVATION,Cordoba Zona Norte,2326,556,576,182,24.76,103.6,474,3,1
EARLY_REACTIVATION,Cordoba Zona Sur,752,196,145,16,19.28,74,37,2,0
EARLY_REACTIVATION,Corrientes,3152,666,639,229,20.27,95.9,549,2,1
EARLY_REACTIVATION,DEL_VISO,964,126,101,10,10.48,80.2,25,3,0
EARLY_REACTIVATION,DEVOTO,20195,6910,5854,1780,28.99,84.7,4833,3,1
EARLY_REACTIVATION,ESCOBAR,423,27,22,1,5.20,81.5,2,2,0
EARLY_REACTIVATION,EZEIZA,3287,683,647,152,19.68,94.7,372,2,1
EARLY_REACTIVATION,Flores,13880,4426,3912,1255,28.18,88.4,3390,3,1
EARLY_REACTIVATION,General Paz,3747,1101,1025,261,27.36,93.1,620,2,1
EARLY_REACTIVATION,Gonnet,2604,733,630,116,24.19,85.9,285,2,0
EARLY_REACTIVATION,Hurlingham,2739,549,430,29,15.70,78.3,73,3,0
EARLY_REACTIVATION,JUJUY,841,89,70,4,8.32,78.7,11,3,0
EARLY_REACTIVATION,LA_RIOJA,818,147,118,6,14.43,80.3,14,2,0
EARLY_REACTIVATION,LUJAN,172,13,15,4,8.72,115.4,10,3,1
EARLY_REACTIVATION,La Reja,48,6,11,1,22.92,183.3,4,4,0
EARLY_REACTIVATION,Lanus,11195,2858,2517,699,22.48,88.1,1705,2,1
EARLY_REACTIVATION,Liniers - Lugano,9314,2666,2244,582,24.09,84.2,1433,2,1
EARLY_REACTIVATION,Lomas de Zamora - Banfield,10353,2965,2759,900,26.65,93.1,2411,3,1
EARLY_REACTIVATION,Los Hornos,223,33,40,13,17.94,121.2,30,2,1
EARLY_REACTIVATION,MAR_DEL_PLATA_CENTRO,10693,2408,1951,624,18.25,81,1505,2,1
EARLY_REACTIVATION,MAR_DEL_PLATA_NORTE,3412,714,650,209,19.05,91,503,2,1
EARLY_REACTIVATION,MAR_DEL_PLATA_SUR,6466,1324,1197,371,18.51,90.4,888,2,1
EARLY_REACTIVATION,MASCHWITZ,61,3,3,1,4.92,100,2,2,1
EARLY_REACTIVATION,Malvinas los hornos,12411,3533,3078,747,24.80,87.1,1852,2,1
EARLY_REACTIVATION,Manantiales,2186,527,519,18,23.74,98.5,45,3,0
EARLY_REACTIVATION,Mendoza Centro,2351,286,240,10,10.21,83.9,25,3,0
EARLY_REACTIVATION,Mendoza Godoy Cruz,2040,260,225,3,11.03,86.5,9,3,0
EARLY_REACTIVATION,Mendoza Guaymallen,2364,337,295,2,12.48,87.5,4,2,0
EARLY_REACTIVATION,Mendoza Maipu - Chacras,648,53,49,0,7.56,92.5,0,,0
EARLY_REACTIVATION,Merlo Moreno,3607,646,519,21,14.39,80.3,51,2,0
EARLY_REACTIVATION,Microcentro,60731,20789,16524,4711,27.21,79.5,12746,3,1
EARLY_REACTIVATION,Monte Grande,7035,1666,1462,371,20.78,87.8,895,2,1
EARLY_REACTIVATION,Moron - El Palomar,8277,2051,1685,503,20.36,82.2,1225,2,1
EARLY_REACTIVATION,Munro,5470,1562,1398,373,25.56,89.5,923,2,1
EARLY_REACTIVATION,Neuquen Centro,6073,1481,1370,15,22.56,92.5,38,3,0
EARLY_REACTIVATION,Nordelta,2385,549,470,23,19.71,85.6,64,3,0
EARLY_REACTIVATION,PACHECO,2352,406,361,30,15.35,88.9,76,3,0
EARLY_REACTIVATION,PILAR,791,89,77,9,9.73,86.5,23,3,0
EARLY_REACTIVATION,Palermo,33207,12280,9838,2421,29.63,80.1,6580,3,1
EARLY_REACTIVATION,Parana,5585,1242,1094,378,19.59,88.1,900,2,1
EARLY_REACTIVATION,Parque Leloir,2284,488,382,22,16.73,78.3,54,2,0
EARLY_REACTIVATION,Plaza italia,12267,4180,3405,857,27.76,81.5,2118,2,1
EARLY_REACTIVATION,Posadas,2130,478,343,114,16.10,71.8,276,2,1
EARLY_REACTIVATION,Quilmes,4510,974,829,255,18.38,85.1,615,2,1
EARLY_REACTIVATION,RESISTENCIA,1471,226,180,79,12.24,79.6,189,2,1
EARLY_REACTIVATION,RIO_CUARTO,1536,304,315,127,20.51,103.6,311,2,1
EARLY_REACTIVATION,Ramos,10080,2744,2383,635,23.64,86.8,1562,2,1
EARLY_REACTIVATION,Ranelagh - Hudson,521,40,31,5,5.95,77.5,13,3,0
EARLY_REACTIVATION,Rosario (Centro),8414,2556,3371,974,40.06,131.9,2300,2,1
EARLY_REACTIVATION,Rosario Belgrano,3260,817,701,18,21.50,85.8,43,2,0
EARLY_REACTIVATION,Rosario Fisherton,913,168,133,5,14.57,79.2,12,2,0
EARLY_REACTIVATION,Rosario Funes,24,4,19,1,79.17,475,2,2,0
EARLY_REACTIVATION,Rosario Norte,1416,288,342,16,24.15,118.8,36,2,0
EARLY_REACTIVATION,Rosario Shopping,5316,1671,1756,527,33.03,105.1,1258,2,1
EARLY_REACTIVATION,Rosario Sur,4228,1107,1152,316,27.25,104.1,748,2,1
EARLY_REACTIVATION,Ruta 20,3754,893,778,22,20.72,87.1,56,3,0
EARLY_REACTIVATION,SANTIAGO_DEL_ESTERO,1372,273,241,96,17.57,88.3,233,2,1
EARLY_REACTIVATION,SAN_JUAN_NORTE,1869,331,287,113,15.36,86.7,271,2,1
EARLY_REACTIVATION,SAN_JUAN_OESTE,1237,266,211,90,17.06,79.3,218,2,1
EARLY_REACTIVATION,SAN_JUAN_SUR,828,149,124,50,14.98,83.2,117,2,1
EARLY_REACTIVATION,SAN_LUIS,2773,586,521,198,18.79,88.9,473,2,1
EARLY_REACTIVATION,SAN_RAFAEL,202,28,17,1,8.42,60.7,5,5,0
EARLY_REACTIVATION,Sabattini Altamira,3278,799,780,172,23.79,97.6,414,2,1
EARLY_REACTIVATION,Salta_Centro,3271,695,577,228,17.64,83,542,2,1
EARLY_REACTIVATION,Salta_Tres_Cerritos,936,211,205,71,21.90,97.2,171,2,1
EARLY_REACTIVATION,San Fernando - Tigre,5212,1352,1082,333,20.76,80,876,3,1
EARLY_REACTIVATION,San Isidro - Victoria,10402,3407,2755,767,26.49,80.9,2075,3,1
EARLY_REACTIVATION,San Justo - Villa Madero,8832,2303,2044,537,23.14,88.8,1308,2,1
EARLY_REACTIVATION,San Miguel,3383,526,395,24,11.68,75.1,65,3,0
EARLY_REACTIVATION,Santa Fe,2249,455,524,204,23.30,115.2,488,2,1
EARLY_REACTIVATION,TANDIL,1759,395,365,131,20.75,92.4,320,2,1
EARLY_REACTIVATION,Talleres,2317,512,403,13,17.39,78.7,31,2,0
EARLY_REACTIVATION,Tucuman,6351,1325,1123,429,17.68,84.8,1033,2,1
